Feature,Importance
energy,0.21169109136511588
instrumentalness,0.1930220723503173
acousticness,0.17614937304800088
danceability,0.11033207291648382
loudness,0.0930183027700015
valence,0.055028074116469664
spec_rate,0.052393365890367354
speechiness,0.04135530723712196
tempo,0.02562287165570535
duration (ms),0.023919367603433106
liveness,0.017468101046983132
