,precision,recall,f1-score,support
calm,0.9739675778014436,0.9770892687559354,0.9755259259259259,8424.0
energetic,0.9219694471919991,0.8935875585854282,0.907556661437767,9388.0
happy,0.9275156077855307,0.9484134434847916,0.9378481247679168,21304.0
sad,0.9585948074320167,0.9459082078678971,0.9522092525820448,16472.0
accuracy,0.9427574296610779,0.9427574296610779,0.9427574296610779,0.9427574296610779
macro avg,0.9455118600527477,0.941249619673513,0.9432849911784137,55588.0
weighted avg,0.9428279164913467,0.9427574296610779,0.9426976972757591,55588.0
